YR,PAT_COUNTY,COUNTY,NPCSEC_CNT,PCSEC_CNT,TOTAL,PCRATE
2016,013,Atascosa County,388,93,481,19.3
2016,047,Brooks County,67,16,83,19.3
2016,167,Galveston County,2393,574,2967,19.3
2016,453,Travis County,8833,2114,10947,19.3
2016,499,Wood County,239,57,296,19.3
2017,157,Fort Bend County,4884,1169,6053,19.3
2019,457,Tyler County,67,16,83,19.3
2016,355,Nueces County,2621,623,3244,19.2
2016,455,Trinity County,84,20,104,19.2
2017,453,Travis County,8470,2014,10484,19.2
2017,499,Wood County,244,58,302,19.2
2018,023,Baylor County,21,5,26,19.2
2018,451,Tom Green County,834,198,1032,19.2
2019,119,Delta County,21,5,26,19.2
2019,391,Refugio County,21,5,26,19.2
2019,409,San Patricio County,341,81,422,19.2
2019,487,Wilbarger County,59,14,73,19.2
2016,387,Red River County,72,17,89,19.1
2017,037,Bowie County,598,141,739,19.1
2017,491,Williamson County,3661,866,4527,19.1
2018,057,Calhoun County,157,37,194,19.1
2018,339,Montgomery County,4130,977,5107,19.1
2019,029,Bexar County,10066,2374,12440,19.1
2019,181,Grayson County,647,153,800,19.1
2019,339,Montgomery County,3079,728,3807,19.1
2016,035,Bosque County,115,27,142,19
2018,087,Collingsworth County,17,4,21,19
2019,259,Kendall County,179,42,221,19
2016,001,Anderson County,340,79,419,18.9
2016,257,Kaufman County,872,203,1075,18.9
2017,019,Bandera County,99,23,122,18.9
2018,121,Denton County,6065,1414,7479,18.9
2018,201,Harris County,37567,8780,46347,18.9
2018,427,Starr County,549,128,677,18.9
2019,135,Ector County,1376,321,1697,18.9
2016,175,Goliad County,39,9,48,18.8
2016,201,Harris County,40970,9464,50434,18.8
2016,217,Hill County,220,51,271,18.8
2017,051,Burleson County,108,25,133,18.8
2017,455,Trinity County,78,18,96,18.8
2018,029,Bexar County,13316,3093,16409,18.8
2019,323,Maverick County,411,95,506,18.8
2016,491,Williamson County,3712,856,4568,18.7
2017,183,Gregg County,1081,248,1329,18.7
2017,201,Harris County,37662,8645,46307,18.7
2018,157,Fort Bend County,5028,1156,6184,18.7
2019,201,Harris County,27892,6436,34328,18.7
2019,203,Harrison County,256,59,315,18.7
2019,471,Walker County,305,70,375,18.7
2019,477,Washington County,148,34,182,18.7
2016,467,Van Zandt County,341,78,419,18.6
2017,289,Leon County,136,31,167,18.6
2017,349,Navarro County,385,88,473,18.6
2018,403,Sabine County,57,13,70,18.6
2019,357,Ochiltree County,48,11,59,18.6
2019,427,Starr County,408,93,501,18.6
2016,429,Stephens County,44,10,54,18.5
2016,483,Wheeler County,44,10,54,18.5
2017,329,Midland County,1660,376,2036,18.5
2018,049,Brown County,220,50,270,18.5
2018,355,Nueces County,2475,560,3035,18.5
2018,491,Williamson County,3822,868,4690,18.5
2019,491,Williamson County,2938,669,3607,18.5
2016,147,Fannin County,186,42,228,18.4
